"vote2","x","y","posslf","posdem","posrep","pospdem","posprep","miss.any","miss.pty","miss.slf"
1,"a.A,1-2","1",2,3,5,2,4,FALSE,FALSE,FALSE
0,"e.1-2,A","5",5,2,4,3,5,FALSE,FALSE,FALSE
0,"e.1-2,A","5",5,2,4,3,4,FALSE,FALSE,FALSE
0,"b.{A,1},2","2",2,2,6,2,6,FALSE,FALSE,FALSE
0,"e.1-2,A","5",7,1,5,2,6,FALSE,FALSE,FALSE
1,"a.A,1-2","1",1,2,4,3,4,FALSE,FALSE,FALSE
1,"c.1,A,2","3",4,3,5,2,5,FALSE,FALSE,FALSE
0,"e.1-2,A","5",7,1,6,1,7,FALSE,FALSE,FALSE
1,"b.{A,1},2","2",4,4,5,4,5,FALSE,FALSE,FALSE
0,"a.A,1-2","1",1,3,5,2,5,FALSE,FALSE,FALSE
1,"a.A,1-2","1",1,2,6,2,5,FALSE,FALSE,FALSE
1,"b.{A,1},2","2",3,3,5,3,5,FALSE,FALSE,FALSE
0,"c.1,A,2","3",4,1,6,1,6,FALSE,FALSE,FALSE
1,"a.A,1-2","1",1,4,7,5,7,FALSE,FALSE,FALSE
0,"e.1-2,A","5",6,1,4,2,5,FALSE,FALSE,FALSE
,"b.{A,1},2","2",3,3,6,4,7,FALSE,FALSE,FALSE
1,"c.1,A,2","3",4,3,6,4,3,FALSE,FALSE,FALSE
1,"d.1,{2,A}","4",4,3,4,2,5,FALSE,FALSE,FALSE
1,"c.1,A,2","3",3,2,6,4,5,FALSE,FALSE,FALSE
0,"d.1,{2,A}","4",3,2,3,2,3,FALSE,FALSE,FALSE
1,"a.A,1-2","1",2,3,6,3,5,FALSE,FALSE,FALSE
0,"c.1,A,2","3",4,3,5,3,5,FALSE,FALSE,FALSE
1,"b.{A,1},2","2",3,3,4,,,FALSE,FALSE,FALSE
0,"e.1-2,A","5",6,3,5,3,5,FALSE,FALSE,FALSE
0,"e.1-2,A","5",7,1,4,2,5,FALSE,FALSE,FALSE
0,"e.1-2,A","5",7,1,6,2,5,FALSE,FALSE,FALSE
0,"e.1-2,A","5",6,2,5,1,6,FALSE,FALSE,FALSE
1,"a.A,1-2","1",1,3,7,3,7,FALSE,FALSE,FALSE
,"b.{A,1},2","2",1,1,7,1,7,FALSE,FALSE,FALSE
1,"a.A,1-2","1",3,5,6,5,6,FALSE,FALSE,FALSE
1,"b.{A,1},2","2",3,3,5,3,5,FALSE,FALSE,FALSE
0,"e.1-2,A","5",6,2,4,2,4,FALSE,FALSE,FALSE
0,"d.1,{2,A}","4",5,2,5,2,4,FALSE,FALSE,FALSE
1,"a.A,1-2","1",1,3,5,3,5,FALSE,FALSE,FALSE
1,"c.1,A,2","3",3,2,5,2,5,FALSE,FALSE,FALSE
1,"b.{A,1},2","2",3,3,6,3,4,FALSE,FALSE,FALSE
1,"b.{A,1},2","2",4,4,7,4,7,FALSE,FALSE,FALSE
